Protein_group	Koala_ko	Koala_definition	X1	X2	X3
SymbC1.scaffold10891.1	K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]			
SymbC1.scaffold10902.3					
SymbC1.scaffold1091.1					
SymbC1.scaffold1091.2					
SymbC1.scaffold10918.1					
SymbC1.scaffold1092.2					
SymbC1.scaffold1092.5	K02866	RP-L10e, RPL10; large subunit ribosomal protein L10e			
SymbC1.scaffold1093.26					
SymbC1.scaffold1094.6	K01883	CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]			
SymbC1.scaffold1094.9					
SymbC1.scaffold1095.5	K12874	AQR; intron-binding protein aquarius			
SymbC1.scaffold1100.8					
SymbC1.scaffold1101.15	K14165	K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]			
SymbC1.scaffold1101.3					
SymbC1.scaffold1101.8					
SymbC1.scaffold1102.1					
SymbC1.scaffold11044.1					
SymbC1.scaffold11049.1					
SymbC1.scaffold11049.2					
SymbC1.scaffold11075.1	K06630	YWHAE; 14-3-3 protein epsilon			
SymbC1.scaffold1108.1	K08057	CALR; calreticulin			
SymbC1.scaffold1109.6					
SymbC1.scaffold111.1					
SymbC1.scaffold111.3					
SymbC1.scaffold11121.1	K02134	ATPeF1D, ATP5D, ATP16; F-type H+-transporting ATPase subunit delta			
SymbC1.scaffold1113.10					
SymbC1.scaffold11142.1	K02995	RP-S8e, RPS8; small subunit ribosomal protein S8e			
SymbC1.scaffold11150.2	K11252	H2B; histone H2B			
SymbC1.scaffold1116.6	K01189	GLA; alpha-galactosidase [EC:3.2.1.22]			
SymbC1.scaffold1119.1					
SymbC1.scaffold112.7					
SymbC1.scaffold1123.3					
SymbC1.scaffold1123.4					
SymbC1.scaffold11237.1	K02729	PSMA5; 20S proteasome subunit alpha 5 [EC:3.4.25.1]			
SymbC1.scaffold1124.1					
SymbC1.scaffold1128.8					
SymbC1.scaffold11285.1	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]			
SymbC1.scaffold11285.2					
SymbC1.scaffold11297.1					
SymbC1.scaffold1132.3					
SymbC1.scaffold1138.2					
SymbC1.scaffold11472.1					
SymbC1.scaffold1151.2					
SymbC1.scaffold1157.2	K02737	PSMB5; 20S proteasome subunit beta 5 [EC:3.4.25.1]			
SymbC1.scaffold1159.7					
SymbC1.scaffold116.7					
SymbC1.scaffold1160.3					
SymbC1.scaffold1168.1	K12825	SF3A1, SAP114; splicing factor 3A subunit 1			
SymbC1.scaffold11683.1	K26736	PA2G4, EBP1; ERBB-3 binding protein			
SymbC1.scaffold1174.4					
SymbC1.scaffold11779.1					
SymbC1.scaffold11781.1					
SymbC1.scaffold118.5	K09490	HSPA5, BIP; endoplasmic reticulum chaperone BiP [EC:3.6.4.10]			
SymbC1.scaffold1183.3					
SymbC1.scaffold1184.6					
SymbC1.scaffold1184.7	K01637	ICL, aceA; isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]			
SymbC1.scaffold11842.2	K11188	PRDX6; peroxiredoxin 6 [EC:1.11.1.7 1.11.1.27 3.1.1.-]			
SymbC1.scaffold1190.2					
SymbC1.scaffold11961.1	K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]			
SymbC1.scaffold12058.1					
SymbC1.scaffold1213.2					
SymbC1.scaffold12130.1					
SymbC1.scaffold12138.1	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]			
SymbC1.scaffold1215.3					
SymbC1.scaffold1221.7	K10251	HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]			
SymbC1.scaffold1222.3					
SymbC1.scaffold12258.1	K02728	PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]			
SymbC1.scaffold12329.2					
SymbC1.scaffold124.13	K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]			
SymbC1.scaffold124.7					
SymbC1.scaffold1241.3	K07399	resB, ccs1; cytochrome c biogenesis protein			
SymbC1.scaffold12411.1	K03242	EIF2S3; translation initiation factor 2 subunit 3			
SymbC1.scaffold1242.6	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]			
SymbC1.scaffold1243.3	K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]			
SymbC1.scaffold125.16	K11163	DHRS1; dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]			
SymbC1.scaffold12501.2					
SymbC1.scaffold12561.1	K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]			
SymbC1.scaffold12587.1					
SymbC1.scaffold126.3					
SymbC1.scaffold12627.2	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]			
SymbC1.scaffold1263.3					
SymbC1.scaffold1263.4	K06972	PITRM1, PreP, CYM1; presequence protease [EC:3.4.24.-]			
SymbC1.scaffold12680.1					
SymbC1.scaffold1269.5					
SymbC1.scaffold127.13					
SymbC1.scaffold127.2	K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]			
SymbC1.scaffold1272.1	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]			
SymbC1.scaffold1272.2					
SymbC1.scaffold1275.1	K00616	TALDO1, talB, talA; transaldolase [EC:2.2.1.2]			
SymbC1.scaffold12760.1					
SymbC1.scaffold1284.3					
SymbC1.scaffold1288.10					
SymbC1.scaffold129.3	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]			
SymbC1.scaffold1290.1	K02879	RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17			
SymbC1.scaffold1291.1					
SymbC1.scaffold1291.14					
SymbC1.scaffold1295.8					
SymbC1.scaffold1297.5	K19882	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]			
SymbC1.scaffold12996.1					
SymbC1.scaffold130.1					
SymbC1.scaffold130.18					
SymbC1.scaffold1302.4	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB			
SymbC1.scaffold1304.1					
SymbC1.scaffold1304.6					
SymbC1.scaffold1306.3					
SymbC1.scaffold131.14					
SymbC1.scaffold1310.2					
SymbC1.scaffold13190.1	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]			
SymbC1.scaffold1321.4					
SymbC1.scaffold1321.7					
SymbC1.scaffold1332.6					
SymbC1.scaffold1332.8	K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]			
SymbC1.scaffold1334.4					
SymbC1.scaffold1335.1					
SymbC1.scaffold1337.3					
SymbC1.scaffold13373.1					
SymbC1.scaffold134.1					
SymbC1.scaffold1341.11	K21360	MAM-D, IMDH3; 3-isopropylmalate/methylthioalkylmalate dehydrogenase [EC:1.1.1.85 1.1.1.-]			
SymbC1.scaffold13463.1					
SymbC1.scaffold135.8	K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]			
SymbC1.scaffold1355.9	K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]			
SymbC1.scaffold1358.11					
SymbC1.scaffold136.7					
SymbC1.scaffold13620.1					
SymbC1.scaffold1364.10					
SymbC1.scaffold1365.5					
SymbC1.scaffold13663.2					
SymbC1.scaffold1367.3					
SymbC1.scaffold1368.5					
SymbC1.scaffold13694.1					
SymbC1.scaffold1375.1	K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]			
SymbC1.scaffold1379.6					
SymbC1.scaffold1380.1	K07874	RAB1A; Ras-related protein Rab-1A			
SymbC1.scaffold1381.4	K03235	EF3, TEF3; elongation factor 3			
SymbC1.scaffold1388.1					
SymbC1.scaffold1389.4	K23565	EMC4, TMEM85; ER membrane protein complex subunit 4			
SymbC1.scaffold139.9	K13720	NAAA; N-(long-chain-acyl)ethanolamine deacylase [EC:3.5.1.60]			
SymbC1.scaffold13905.1					
SymbC1.scaffold13925.2					
SymbC1.scaffold1393.2					
SymbC1.scaffold13958.1					
SymbC1.scaffold1398.5					
SymbC1.scaffold1415.6					
SymbC1.scaffold1415.7					
SymbC1.scaffold1415.9					
SymbC1.scaffold14153.1					
SymbC1.scaffold1417.4	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]			
SymbC1.scaffold1423.11					
SymbC1.scaffold1423.12					
SymbC1.scaffold143.16					
SymbC1.scaffold14331.1	K01134	ARSA; arylsulfatase A [EC:3.1.6.8]			
SymbC1.scaffold1438.6					
SymbC1.scaffold1440.3	K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A			
SymbC1.scaffold14435.2					
SymbC1.scaffold1448.10					
SymbC1.scaffold1448.4	K02358	tuf, TUFM; elongation factor Tu			
SymbC1.scaffold1449.3	K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]			
SymbC1.scaffold1450.3					
SymbC1.scaffold14521.1					
SymbC1.scaffold1455.4					
SymbC1.scaffold1458.2	K01225	CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]			
SymbC1.scaffold1458.5	K02145	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:7.1.2.2]			
SymbC1.scaffold14592.1					
SymbC1.scaffold146.6					
SymbC1.scaffold1466.4					
SymbC1.scaffold1468.1					
SymbC1.scaffold147.12	K02730	PSMA6; 20S proteasome subunit alpha 1 [EC:3.4.25.1]			
SymbC1.scaffold1472.1					
SymbC1.scaffold1473.1	K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]			
SymbC1.scaffold1473.4					
SymbC1.scaffold1497.7	K03283	HSPA1_6_8; heat shock 70kDa protein 1/6/8			
SymbC1.scaffold15.353					
SymbC1.scaffold150.13					
SymbC1.scaffold1503.7					
SymbC1.scaffold1504.3					
SymbC1.scaffold1512.5	K17732	PMPCB, MAS1; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]			
SymbC1.scaffold1517.7					
SymbC1.scaffold1519.3					
SymbC1.scaffold152.9					
SymbC1.scaffold1520.6	K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]			
SymbC1.scaffold15227.1					
SymbC1.scaffold1523.3					
SymbC1.scaffold153.7					
SymbC1.scaffold1534.2					
SymbC1.scaffold1535.2					
SymbC1.scaffold1535.5	K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]			
SymbC1.scaffold1536.4					
SymbC1.scaffold1537.2					
SymbC1.scaffold1537.4					
SymbC1.scaffold1540.9					
SymbC1.scaffold1541.4	K04499	RUVBL1, RVB1, INO80H; RuvB-like protein 1 [EC:5.6.2.4]			
SymbC1.scaffold1543.5	K09498	CCT6; T-complex protein 1 subunit zeta			
SymbC1.scaffold1544.3					
SymbC1.scaffold15470.1	K09486	HYOU1; hypoxia up-regulated 1			
SymbC1.scaffold1549.3					
SymbC1.scaffold1556.8	K12889	PCBP1; poly(rC)-binding protein 1			
SymbC1.scaffold156.1					
SymbC1.scaffold1562.1					
SymbC1.scaffold1569.2					
SymbC1.scaffold157.10	K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]			
SymbC1.scaffold1571.2	K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]			
SymbC1.scaffold1573.8					
SymbC1.scaffold1576.10	K02108	ATPF0A, atpB; F-type H+-transporting ATPase subunit a			
SymbC1.scaffold1576.12	K01870	IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]			
SymbC1.scaffold1576.4					
SymbC1.scaffold1578.6					
SymbC1.scaffold1582.5	K00939	adk, AK; adenylate kinase [EC:2.7.4.3]			
SymbC1.scaffold1585.9					
SymbC1.scaffold1589.5					
SymbC1.scaffold159.1					
SymbC1.scaffold1593.4	K02872	RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae			
SymbC1.scaffold16.337					
SymbC1.scaffold1600.3					
SymbC1.scaffold1602.13					
SymbC1.scaffold1608.10					
SymbC1.scaffold1608.2	K04567	KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]			
SymbC1.scaffold16094.1	K08057	CALR; calreticulin			
SymbC1.scaffold1610.2					
SymbC1.scaffold1616.11					
SymbC1.scaffold16252.3					
SymbC1.scaffold1636.3	K03217	yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase			
SymbC1.scaffold1639.5					
SymbC1.scaffold16443.1					
SymbC1.scaffold1646.1	K08679	GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6]			
SymbC1.scaffold1648.2					
SymbC1.scaffold1658.2	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]			
SymbC1.scaffold166.5					
SymbC1.scaffold1664.8					
SymbC1.scaffold1665.1					
SymbC1.scaffold168.6					
SymbC1.scaffold1697.1					
SymbC1.scaffold1699.7					
SymbC1.scaffold170.11	K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC			
SymbC1.scaffold170.12					
SymbC1.scaffold170.4	K02886	RP-L2, MRPL2, RML2, rplB; large subunit ribosomal protein L2			
SymbC1.scaffold1702.5	K01599	hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]			
SymbC1.scaffold1704.4					
SymbC1.scaffold1707.2					
SymbC1.scaffold171.1					
SymbC1.scaffold171.4					
SymbC1.scaffold1712.1					
SymbC1.scaffold1716.4					
SymbC1.scaffold1717.1					
SymbC1.scaffold1719.2					
SymbC1.scaffold1719.3					
SymbC1.scaffold1721.5	K00545	COMT; catechol O-methyltransferase [EC:2.1.1.6]			
SymbC1.scaffold1733.10					
SymbC1.scaffold175.5					
SymbC1.scaffold1750.7					
SymbC1.scaffold1753.1					
SymbC1.scaffold1753.10					
SymbC1.scaffold1758.2	K01267	DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]			
SymbC1.scaffold176.4					
SymbC1.scaffold176.6					
SymbC1.scaffold1764.4	K17302	COPB2, SEC27; coatomer subunit beta'			
SymbC1.scaffold1768.5					
SymbC1.scaffold1773.2					
SymbC1.scaffold1774.5	K00703	glgA; starch synthase [EC:2.4.1.21]			
SymbC1.scaffold1777.14					
SymbC1.scaffold1781.7					
SymbC1.scaffold1788.2					
SymbC1.scaffold17953.1	K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]			
SymbC1.scaffold1798.1					
SymbC1.scaffold1799.1					
SymbC1.scaffold18041.2					
SymbC1.scaffold1811.7					
SymbC1.scaffold1814.1					
SymbC1.scaffold1817.6					
SymbC1.scaffold1819.6					
SymbC1.scaffold182.2					
SymbC1.scaffold182.4					
SymbC1.scaffold182.9					
SymbC1.scaffold1820.2	K15029	EIF3L; translation initiation factor 3 subunit L			
SymbC1.scaffold1828.7					
SymbC1.scaffold18299.1					
SymbC1.scaffold18339.1					
SymbC1.scaffold1836.9					
SymbC1.scaffold184.1					
SymbC1.scaffold18429.1					
SymbC1.scaffold1843.1	K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]			
SymbC1.scaffold1843.9	K00434	E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]			
SymbC1.scaffold1844.3					
SymbC1.scaffold1857.2	K21594	GUF1; translation factor GUF1, mitochondrial [EC:3.6.5.-]			
SymbC1.scaffold1859.4	K03428	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]			
SymbC1.scaffold186.5	K17681	ATAD3A_B; ATPase family AAA domain-containing protein 3A/B			
SymbC1.scaffold1862.1					
SymbC1.scaffold1862.2					
SymbC1.scaffold1867.3					
SymbC1.scaffold1885.1	K11170	DHRSX; polyprenol dehydrogenase [NAD(P)H] [EC:1.1.1.441]			
SymbC1.scaffold1889.8					
SymbC1.scaffold1897.4					
SymbC1.scaffold1897.6					
SymbC1.scaffold18976.1					
SymbC1.scaffold1902.2					
SymbC1.scaffold1905.1					
SymbC1.scaffold1905.3					
SymbC1.scaffold191.9					
SymbC1.scaffold1921.8					
SymbC1.scaffold1928.1					
SymbC1.scaffold1928.3					
SymbC1.scaffold193.11					
SymbC1.scaffold1932.6					
SymbC1.scaffold1935.6	K02731	PSMA7; 20S proteasome subunit alpha 4 [EC:3.4.25.1]			
SymbC1.scaffold194.5					
SymbC1.scaffold194.9	K10419	DYNLRB, DNCL2; dynein light chain roadblock-type			
SymbC1.scaffold1940.6	K01900	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]			
SymbC1.scaffold1947.6	K20011	PRDX3; peroxiredoxin 3 [EC:1.11.1.24 1.11.1.25]			
SymbC1.scaffold195.5					
SymbC1.scaffold1950.1					
SymbC1.scaffold1954.2	K16302	CNNM; metal transporter CNNM			
SymbC1.scaffold1954.5	K02891	RP-L22e, RPL22; large subunit ribosomal protein L22e			
SymbC1.scaffold1954.8					
SymbC1.scaffold1959.1					
SymbC1.scaffold196.4					
SymbC1.scaffold19627.1					
SymbC1.scaffold1975.6					
SymbC1.scaffold1979.3	K02880	RP-L17e, RPL17; large subunit ribosomal protein L17e			
SymbC1.scaffold1986.3	K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]			
SymbC1.scaffold19861.1					
SymbC1.scaffold1987.3					
SymbC1.scaffold1989.3					
SymbC1.scaffold1999.2					
SymbC1.scaffold2.1717					
SymbC1.scaffold2.1958					
SymbC1.scaffold2.343					
SymbC1.scaffold2004.10	K18106	GAAA; D-galacturonate reductase [EC:1.1.1.-]			
SymbC1.scaffold201.1	K12580	CNOT3, NOT3; CCR4-NOT transcription complex subunit 3			
SymbC1.scaffold201.11					
SymbC1.scaffold2010.2					
SymbC1.scaffold2015.2					
SymbC1.scaffold202.11					
SymbC1.scaffold202.15	K22503	DARS1; aspartyl-tRNA synthetase [EC:6.1.1.12]			
SymbC1.scaffold2022.5					
SymbC1.scaffold203.5					
SymbC1.scaffold2030.3					
SymbC1.scaffold2037.5					
SymbC1.scaffold2040.5	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]			
SymbC1.scaffold2041.6	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]			
SymbC1.scaffold2043.5	K01135	ARSB; arylsulfatase B [EC:3.1.6.12]			
SymbC1.scaffold2057.1					
SymbC1.scaffold2057.2					
SymbC1.scaffold206.10					
SymbC1.scaffold206.6	K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]			
SymbC1.scaffold2060.5					
SymbC1.scaffold2062.2	K25656	cry, CRYD; cryptochrome			
SymbC1.scaffold2062.8					
SymbC1.scaffold2069.6					
SymbC1.scaffold2070.5					
SymbC1.scaffold2076.2	K01634	SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]			
SymbC1.scaffold2079.1					
SymbC1.scaffold2092.2	K01880	GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]			
SymbC1.scaffold2094.3					
SymbC1.scaffold21.411					
SymbC1.scaffold210.13					
SymbC1.scaffold2101.2	K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]			
SymbC1.scaffold2106.6	K18468	VPS35; vacuolar protein sorting-associated protein 35			
SymbC1.scaffold2106.8					
SymbC1.scaffold2113.3	K02115	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma			
SymbC1.scaffold2114.3					
SymbC1.scaffold2121.3					
SymbC1.scaffold21224.1					
SymbC1.scaffold2130.1					
SymbC1.scaffold2139.4					
SymbC1.scaffold2144.5	K05610	UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]			
SymbC1.scaffold2147.6					
SymbC1.scaffold215.16	K01192	E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]			
SymbC1.scaffold215.2					
SymbC1.scaffold2153.1					
SymbC1.scaffold2153.2	K22074	NFU1, HIRIP5; NFU1 iron-sulfur cluster scaffold homolog, mitochondrial			
SymbC1.scaffold2157.1					
SymbC1.scaffold2161.2					
SymbC1.scaffold2173.2					
SymbC1.scaffold2178.1	K07513	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]			
SymbC1.scaffold2178.2	K07513	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]			
SymbC1.scaffold2179.3					
SymbC1.scaffold2185.4					
SymbC1.scaffold2186.3					
SymbC1.scaffold2188.1					
SymbC1.scaffold2189.3					
SymbC1.scaffold2191.10	K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]			
SymbC1.scaffold2191.5					
SymbC1.scaffold220.12					
SymbC1.scaffold220.20	K03033	PSMD3, RPN3; 26S proteasome regulatory subunit N3			
SymbC1.scaffold2202.3					
SymbC1.scaffold2207.2					
SymbC1.scaffold2209.5					
SymbC1.scaffold2209.6	K11086	SNRPB, SMB; small nuclear ribonucleoprotein B and B'			
SymbC1.scaffold2209.9					
SymbC1.scaffold221.10	K04797	pfdA, PFDN5; prefoldin alpha subunit			
SymbC1.scaffold221.4					
SymbC1.scaffold2210.2					
SymbC1.scaffold2211.3					
SymbC1.scaffold2216.1	K02998	RP-SAe, RPSA; small subunit ribosomal protein SAe			
SymbC1.scaffold2217.2					
SymbC1.scaffold2219.5	K18059	SULTR4; sulfate transporter 4			
SymbC1.scaffold2230.2					
SymbC1.scaffold2234.5					
SymbC1.scaffold2242.1					
SymbC1.scaffold225.6					
SymbC1.scaffold2250.4					
SymbC1.scaffold2253.2					
SymbC1.scaffold2256.4					
SymbC1.scaffold2271.3					
SymbC1.scaffold2275.3	K10960	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]			
SymbC1.scaffold2285.6	K07407	E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]			
SymbC1.scaffold2286.3					
SymbC1.scaffold2286.7					
SymbC1.scaffold2289.2					
SymbC1.scaffold2291.3					
SymbC1.scaffold2295.2					
SymbC1.scaffold2296.2	K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]			
SymbC1.scaffold2305.2					
SymbC1.scaffold2306.2					
SymbC1.scaffold2315.3					
SymbC1.scaffold2321.3					
SymbC1.scaffold2321.7					
SymbC1.scaffold2335.3					
SymbC1.scaffold2342.3					
SymbC1.scaffold2349.4					
SymbC1.scaffold235.6	K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae			
SymbC1.scaffold2355.3					
SymbC1.scaffold236.11	K01702	LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]			
SymbC1.scaffold236.4					
SymbC1.scaffold236.7					
SymbC1.scaffold236.9					
SymbC1.scaffold2366.10					
SymbC1.scaffold2366.6	K05692	ACTB_G1; actin beta/gamma 1			
SymbC1.scaffold2368.3	K01251	AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]			
SymbC1.scaffold237.7					
SymbC1.scaffold2372.2					
SymbC1.scaffold2372.7					
SymbC1.scaffold2373.2	K02966	RP-S19e, RPS19; small subunit ribosomal protein S19e			
SymbC1.scaffold2377.7	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]			
SymbC1.scaffold238.4	K01873	VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]			
SymbC1.scaffold2381.4	K18338	LRA2; L-rhamnono-1,4-lactonase [EC:3.1.1.65]			
SymbC1.scaffold2388.2					
SymbC1.scaffold240.13					
SymbC1.scaffold240.6					
SymbC1.scaffold2402.4	K09490	HSPA5, BIP; endoplasmic reticulum chaperone BiP [EC:3.6.4.10]			
SymbC1.scaffold2404.2	K01365	CTSL; cathepsin L [EC:3.4.22.15]			
SymbC1.scaffold2414.4					
SymbC1.scaffold2418.3					
SymbC1.scaffold2427.4					
SymbC1.scaffold2428.4					
SymbC1.scaffold2443.4					
SymbC1.scaffold245.22					
SymbC1.scaffold2453.2					
SymbC1.scaffold2461.10	K01759	GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]			
SymbC1.scaffold2470.5					
SymbC1.scaffold2472.7					
SymbC1.scaffold248.13					
SymbC1.scaffold2484.2					
SymbC1.scaffold2487.2					
SymbC1.scaffold2487.3					
SymbC1.scaffold2502.4					
SymbC1.scaffold2505.1					
SymbC1.scaffold2505.2					
SymbC1.scaffold251.4					
SymbC1.scaffold251.5					
SymbC1.scaffold251.9					
SymbC1.scaffold2516.2	K03885	ndh; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]			
SymbC1.scaffold2516.4					
SymbC1.scaffold2518.1					
SymbC1.scaffold2519.3					
SymbC1.scaffold252.15					
SymbC1.scaffold252.18					
SymbC1.scaffold2522.3					
